PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
1104,160702796,70695443,C1CN(CCC1CCCCNC2=C(C=C(C(=N2)N)C#N)C#N)CC3=CC=CC=C3,Unspecified,,,,,Inhibition,=,36.38,%,Average; N=2,
1105,160703055,93572,C1=CC=C2C(=C1)C=CC(=C2N=NC3=NC=CS3)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 12.7 Pct,
1106,160703194,12445422,C1=CC(=C(N=C1)NC2=CC=C(C=C2)Cl)N,Unspecified,,,,,Inhibition,=,2.93,%,Average; N=2,
1107,160703236,70695599,C1=CC2=NC(=C(N2C=C1)C(=O)NCC3=CC(=CC(=C3)Cl)Cl)C(F)(F)F,Unspecified,,,,,Inhibition,=,22.39,%,Average; N=2,
1108,160703241,2989027,COC1=CC=CC=C1OCCCCN2C3=CC=CC=C3N=C2C4CC4,Unspecified,,,,,Inhibition,=,12.87,%,Average; N=2,
1109,160703371,65781,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)O)C)S(=O)(=O)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 8.4 Pct,
1110,160704060,901734,CC1=CC(=NC2=C1C=C3C(=C2)CCN3C(=O)C)C,Unspecified,,,,,Inhibition,=,14.4,%,Average; N=2,
1111,160704077,613657,C1=CC(=NN2C1=NN=C2C(F)(F)F)Cl,Unspecified,,,,,Inhibition,=,14.72,%,Average; N=2,
1112,160704083,6416437,CC1=NN=C(C2=CC=CC=C12)NCC3=CC(=CC=C3)Cl,Unspecified,,,,,Inhibition,=,21.63,%,Average; N=2,
1113,160704090,2386708,C1CSC(=N1)NC(=O)C2=C(C3=C(S2)C=C(C=C3)F)Cl,Unspecified,,,,,Inhibition,=,2.69,%,Average; N=2,
1114,160704976,60144117,C#CCN1CCC2=C(C1)C(=C3C=C(C(=NC3=N2)Cl)C#N)N,Unspecified,,,,,Inhibition,=,26.25,%,Average; N=2,
1115,160705396,68263732,C1CNCCC1CN2C3=NC=NC(=C3C(=N2)C4=CC5=CC=CC=C5N=C4)N,Unspecified,,,,,Inhibition,=,3.94,%,Average; N=2,
1116,160708043,70697453,C1CN(CCC1NC2=C(C=C(C(=N2)N)C#N)C#N)CC3=CC=CC=C3,Unspecified,,,,,Inhibition,=,23.9,%,Average; N=2,
1117,160708043,70697453,C1CN(CCC1NC2=C(C=C(C(=N2)N)C#N)C#N)CC3=CC=CC=C3,Unspecified,,,,,Inhibition,=,14.84,%,Average; N=2,
1118,160708453,470766,C1C2CC3CC1CC(C2)(C3)NC(=O)C4=CC5=CC=CC=C5N4,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 12.8 Pct,
1119,160708457,3267719,CCC(C(=O)NC1=NC=CS1)SC2=NC3=CC=CC=C3O2,Unspecified,,,,,Inhibition,=,18.2,%,Average; N=2,
1120,160708469,135551751,CCC1=C(N=C(NC1=O)N2C(=CC(=N2)C)NC(=O)C3=CC=CC=C3SC)C,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 18.3 Pct,
1121,160708471,18775329,COC1=CC=C(C=C1)NC2=CC=CC=C2NC(=O)C3=CNC(=O)C=C3,Unspecified,,,,,Inhibition,=,8.88,%,Average; N=2,
1122,160708485,17555992,COC1=CC=C(C=C1)C2=C(C=CC(=C2)NC(=O)C3=C(C=C(C=C3)F)Cl)OC,Unspecified,,,,,Inhibition,=,17.79,%,Average; N=2,
1123,160708495,35591142,COC1=C(C=C(C=C1)C2=NC(=NO2)C3=CC(=CC=C3)NC(=O)CC4=CC=C(C=C4)F)OC,Unspecified,,,,,Inhibition,=,22.17,%,Average; N=2,
1124,163312855,54682468,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O.Cl,Active,,,,1.25,MIC,=,1250,nM,Median N= 2,
1125,163313890,670851,C1=CC=C2C(=C1)NC(=N2)C3=NNC(=O)C(=C3)N,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 11.2 Pct,
1126,163314009,51354502,C1CC1C2=CN3C(=C(N=C3C(=C2)C(F)(F)F)C(=O)N4CCN(C(=O)C4)C5CCC(CC5)O)Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 11.0 Pct,
1127,163315031,71450388,COC1=C2C(=CC(=C1NC(=O)C3CCC(CC3)COC4=CC=C(C=C4)[N+](=O)[O-])F)C(=O)C(=CN2C5CC5)C(=O)O,Unspecified,,,,20,MIC,=,20000,nM,Median N= 2,
1128,163315720,3823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 2.9 Pct,
1129,163321095,71453524,CC1(C(=NN(C1=O)C2CCCCCC2)C3=CC(=C(C=C3)OC)OCC4=CC=CC=N4)C,Unspecified,,,,,Inhibition,=,10.88,%,Average; N=2,
1130,163322331,66573528,COC1=CC=CC=C1C2C3=C(C4=CC=CC=C4C=C3)OC5=NC6=C(CCCC6)C(=C25)N,Unspecified,,,,,Inhibition,=,0.62,%,Average; N=2,
1131,163322662,4544,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 12.0 Pct,
1132,163322681,135413539,CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC.C(=C\C(=O)O)\C(=O)O,Unspecified,,,,,Inhibition,=,22.85,%,Average; N=2,
1133,163322707,49856164,C1=CC(=CC=C1C2=CC=C(C=C2)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib -9.1 Pct,
1134,163324568,51347106,CC1=NC2=NC=CN2C(=C1)NC3=CC=C(C=C3)C(F)(F)F,Unspecified,,,,,Inhibition,=,20.89,%,Average; N=2,
1135,163324781,59191218,CCC1=CC(=C(C=C1F)OC2=C(N=CC=C2)N)O,Active,,,,1.25,MIC,=,1250,nM,Median N= 2,
1136,163325739,66573585,C1CCC2=C(C1)C(=C3C(C4=C(C5=CC=CC=C5C=C4)OC3=N2)C6=C(C=CC=C6Cl)Cl)N,Unspecified,,,,,Inhibition,=,2.04,%,Average; N=2,
1137,163325740,66573586,C1CCC2=C(C1)C(=C3C(C4=C(C5=CC=CC=C5C=C4)OC3=N2)C6=CC(=C(C=C6)Cl)Cl)N,Unspecified,,,,,Inhibition,=,-15.84,%,Average; N=2,Outside typical range
1138,163326128,119583,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Unspecified,,,,,Inhibition,=,10.04,%,Average; N=2,
1139,163326899,71456558,C1=CC=C(C=C1)C2=CC(=NC(=N2)N)NC3=CC4=C(C=C3)N=C(C=C4N)C5=CC=C(C=C5)F,Active,,,,10,MIC,=,10000,nM,Median N= 2; Range 20 - 10  Um,
1140,163328605,79351,COC1=C(C=C(C(=C1)C=O)Br)OC,Unspecified,,,,,Inhibition,=,28.77,%,Average; N=2,
1141,163332755,66573584,C1CCC2=C(C1)C(=C3C(C4=C(C5=CC=CC=C5C=C4)OC3=N2)C6=CC=C(C=C6)[N+](=O)[O-])N,Unspecified,,,,,Inhibition,=,-9.37,%,Average; N=2,
1142,163334940,71460703,CC1(C(=NN(C1=O)C2CCCCCC2)C3=CC(=C(C=C3)OC)OCCCCOC4=CC=C(C=C4)C5=NNN=N5)C,Unspecified,,,,,Inhibition,=,39.77,%,Average; N=2,
1143,163335360,1380943,C1=CC=C(C(=C1)C(=O)N)NC(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3C(=O)N,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 13.6 Pct,
1144,163336142,66573530,COC1=CC(=C(C=C1)C2C3=C(C4=CC=CC=C4C=C3)OC5=NC6=C(CCCC6)C(=C25)N)OC,Unspecified,,,,,Inhibition,=,-6.11,%,Average; N=2,
1145,163338620,44208849,CCC1=CC(=C(C=C1F)OC2=C(C=C(C=C2)C(=O)N)F)O,Unspecified,,,,0.1562,MIC,<=,156.2,nM,Median N= 2; Range 0.3125 - <=0.1562  Um,
1146,163339567,66573467,C1CCC2=C(C1)C(=C3C(C4=C(C5=CC=CC=C5C=C4)OC3=N2)C6=CC=CC=C6)N,Unspecified,,,,,Inhibition,=,23.6,%,Average; N=2,
1147,163339568,66573526,CC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4C=C3)OC5=NC6=C(CCCC6)C(=C25)N,Unspecified,,,,,Inhibition,=,-4.73,%,Average; N=2,
1148,164130118,71662594,CC1=CC(=C2C=C(NC2=C1)C(=O)NC3CCCCCCC3)C,Unspecified,,,,,Inhibition,=,16.44,%,Average; N=2,
1149,164130328,700009,C1=CC=C2C(=C1)C=C(N2)C3=CC=CC=C3O,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 15.9 Pct,
1150,164131048,71552169,CN1C(=O)C2=CC=CC=C2C(=N1)CC(=O)NC3=CC(=C(C=C3)Cl)OC,Unspecified,,,,,Inhibition,=,23.8,%,Average; N=2,
1151,164133058,71662587,CC(C1=CC=CC=C1)C(=O)NC2=CC3=C(C=C2)OC(=N3)C4=CC=NC=C4,Unspecified,,,,,Inhibition,=,33.61,%,Average; N=2,
1152,164136014,53387035,C1CC(CCC1CC(=O)O)C2=CC=C(C=C2)C3=NC=C(C=C3)NC4=CN=C(C=C4)C(F)(F)F,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 8.2 Pct,
1153,164136059,656664,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CNC4=CC=CC=C43.Cl,Unspecified,,,,,Inhibition,=,18.1,%,Average; N=2,
1154,164138081,71525312,CCC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=CC(=C2)C3=CC=NC=C3)OC,Active,,,,2.5,MIC,=,2500,nM,Median N= 2; Range 5 - 2.5  Um,
1155,164138624,71579813,CC1=CC(=NO1)NC(=O)C2=CC=C(O2)OC3=C(C=C(C=C3)Cl)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 11.9 Pct,
1156,164138627,71579718,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC3=C(C=C(C=C3)Cl)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 12.1 Pct,
1157,164138744,71661895,CC(C(=O)NC1=CC2=C(C=C1)OC(=N2)C3=CC=NC=C3)OC4=CC(=CC=C4)Cl,Unspecified,,,,,Inhibition,=,60.53,%,Average; N=2,
1158,164141658,163761,CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC.C(CC(=O)O)C(=O)O,Active,,,,10,MIC,=,10000,nM,Median N= 2,
1159,164141917,60196938,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OCCN(CCN6C=NC=N6)CC7=C(C=C(C=C7)F)F.[Cl-],Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 11.4 Pct,
1160,164143126,71719394,COC1=C(C=C(C=C1)C2=NN(C(=O)[C@H]3[C@@H]2CC=CC3)C4CCCCCC4)OCCCCOC5=CC=C(C=C5)C6=NNN=N6,Unspecified,,,,,Inhibition,=,53.58,%,Average; N=2,
1161,164145617,71605749,CC(C)(C)N1C2=NC=NC(=C2C(=N1)CC3=CC(=C(C=C3)F)Cl)N,Unspecified,,,,,Inhibition,=,12.68,%,Average; N=2,
1162,164147235,828705,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=CO4,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 5.5 Pct,
1163,164147586,71508634,C1=CC(=C(C=C1NC(=O)C2=C(C=CC(=C2)Cl)O)C(F)(F)F)C(F)(F)F,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 25.4 Pct,
1164,164148891,67064709,CCCCCC1=CC=C(C=C1)C(=O)NCCN2C=C(N=N2)CCCCCC3=CN=C(N3)N.Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 1.7 Pct,
1165,164149221,5849412,C1=C(OC(=C1)Br)/C=C(/[N+](=O)[O-])\Br,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 9.2 Pct,
1166,164149891,71580556,CC(C)(C)C(=O)N(CCCCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)C2CCCCCC2,Unspecified,,,,,Inhibition,=,-1.36,%,Average; N=2,
1167,174484606,3084246,C1CN(CCN1)C2=CC=CC(=C2)C(F)(F)F.Cl,Unspecified,,,,,Inhibition,=,-3.1,%,Average; N=2,
1168,174484615,668392,C1=CC(=CC=C1C2=NN=C(S2)N)Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 5.5 Pct,
1169,174489680,3246719,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5NC(=O)CN)N=C4C3=C2)O.Cl,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 28.9 Pct,
1170,174489730,9847786,CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(C(C(=O)O)O)(C(=O)O)O,Unspecified,,,,,Inhibition,=,-0.49,%,Average; N=2,
1171,174493954,54764565,CN1CCN(CC1)CC2=CC=C(C=C2)C3=CC4=C(NC=C4C5=CC6=C(C=C5)NC=C6)N=C3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 9.6 Pct,
1172,174495485,2818423,C1CCN(CC1)C2=CC(=NC3=CC=CC=C32)C4=CC=CC=N4,Unspecified,,,,,Inhibition,=,9.48,%,Average; N=2,
1173,174498549,72708610,C[C@H](C1=CC=CC2=CC=CC=C21)N(C)CC3=CC=CC=C3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 12.2 Pct,
1174,174500883,73350396,CCCCNNC(=O)C1=CC2=CC=CC=C2N1,Unspecified,,,,,Inhibition,=,0.71,%,Average; N=2,
1175,174500884,12287470,CC1=CC=C(C=C1)CNNC(=O)C2=CC3=CC=CC=C3N2C,Unspecified,,,,,Inhibition,=,-9.87,%,Average; N=2,
1176,174502731,10471037,CCCCCCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO)O,Unspecified,,,,,MIC,=,0.5,ug.mL-1,Median N= 4; Range 0.5 - <=0.25  Ug.Ml-1,
1177,174503760,2763159,CCCCCCCC1=C(C(=O)C2=CC=CC=C2N1)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 11.2 Pct,
1178,174505056,5281899,CC[C@H]\1CC[C@@H]2[C@@H]([C@@H]([C@H]([C@@]3(O2)CC[C@H]([C@H](O3)C[C@H](C)O)C)C)OC(=O)/C=C/[C@H]([C@@H]([C@H](C(=O)[C@H]([C@@H]([C@H](C(=O)[C@@]([C@@H]([C@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C,Unspecified,,,,,Inhibition,=,9.12,%,Average; N=2,
1179,174508485,49769085,CC1COC2(O1)CCN(CC2)C3=NC(=O)C4=C(S3)C(=CC(=C4)C(F)(F)F)[N+](=O)[O-],Unspecified,,,,,Inhibition,=,16.17,%,Average; N=2,
1180,174508561,73352248,C1CN(CCC1NC2=NC(=C(C(=C2C#N)C3=CC=CC=C3)C#N)Cl)CC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,-0.92,%,Average; N=2,
1181,174509506,487718,CC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 74.5 Pct,
1182,174509690,46196110,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=CC=C3C(F)(F)F)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 32.4 Pct,
1183,174510244,119525,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O,Active,,,,1.25,MIC,=,1250,nM,Median N= 2,
1184,174511213,73353376,C/C(=N/NC(=O)C1=CNC2=C1C=C(C=C2)O)/CC3=CC=CC=C3,Unspecified,,,,,Inhibition,=,7.12,%,Average; N=2,
1185,174513055,25172417,CC(C)(CO)[C@H](C(=O)NCCC(=O)NCCC1=CC=CC=C1)O,Unspecified,,,,,MIC,=,32,ug.mL-1,Median N= 4; Range >32 - 32  Ug.Ml-1,
1186,174515324,49836020,CC[C@@H](C(=O)N1C[C@H](C[C@H]1CC2=C(NC3=C2C=CC(=C3)F)C4=C(C5=C(N4)C=C(C=C5)F)C[C@@H]6C[C@@H](CN6C(=O)[C@H](CC)NC(=O)[C@H](C)NC)O)O)NC(=O)[C@H](C)NC,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 10.3 Pct,
1187,174516359,72548770,C1=CC=C2C(=C1)C(=CN2)CCCNN.C(=C/C(=O)O)\C(=O)O,Unspecified,,,,,Inhibition,=,18.22,%,Average; N=2,
1188,174518728,72374597,C1CN(CCC1CCNC2=C(C(=C(C(=N2)NCCC3CCN(CC3)CC4=CC=CC=C4)C#N)C5=CC=CC=C5)C#N)CC6=CC=CC=C6,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 20.9 Pct,
1189,174520467,230580,C1=CC=C2C(=C1)C(=CN2)CCC(=O)NN,Unspecified,,,,,Inhibition,=,1.93,%,Average; N=2,
1190,174521531,71580391,C1=CC=C(C=C1)CNC2=C(C(=C(C(=C2Cl)F)C#N)F)C#N,Active,,,,5,MIC,=,5000,nM,Median N= 2,
1191,194134279,3793,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 25.1 Pct,
1192,194134279,3793,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 12.0 Pct,
1193,194134320,5189681,C1CN(C2(N1C(=O)C3=CC=CC=C32)C4=CC=CC=C4)C(=O)C5=CC=C(C=C5)F,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 12.6 Pct,
1194,194134381,25249,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=C(C4)NN=C5)C,Unspecified,,,,,Inhibition,=,-5.12,%,Average; N=2,
1195,194139886,6410757,CC(CO)O.C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4,Unspecified,,,,,Inhibition,=,31.82,%,Average; N=2,
1196,194141584,76311546,CCOC(=O)C1=C(N=C2C(=C1C3=CC=C(C=C3)Cl)C(=C4CCCCCC4=N2)N)C,Unspecified,,,,,Inhibition,=,2.05,%,Average; N=2,
1197,194150450,24014444,CC1=NC(=C2C=NN(C2=N1)C3=CC=CC=C3)NC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,6.87,%,Average; N=2,
1198,194154132,22305773,CCOC1=C(C=C(C=C1)/C=N/NC(=O)C2CC2C3=CC=C(C=C3)C(C)(C)C)OCC,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 10.3 Pct,
1199,194154398,76318339,CN1C2=C(C=C(C=C2)OCCCC3CCN(CC3)CC4=CC=CC=C4)C=C1C(=O)N5CCOCC5,Unspecified,,,,,Inhibition,=,23.07,%,Average; N=2,
1200,194154399,76318340,CN1C2=C(C=C(C=C2)OCCCC3CCN(CC3)CC4=CC=CC=C4)C=C1CO,Unspecified,,,,,Inhibition,=,7.02,%,Average; N=2,
1201,194154726,76318587,C1=CC(=C(C=C1CCOC2=CN=CC3=NN=C(N23)C4=CN=C(C=C4)C(F)(F)F)F)F,Unspecified,,,,,Inhibition,=,6.53,%,Average; N=2,
1202,194161805,67356,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl,Unspecified,,,,,Inhibition,=,12.42,%,Average; N=2,
1203,194161839,91656,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 9.2 Pct,
1204,194165463,14870486,C1OC2=C(O1)C=C(C=C2)/C=C/C3=NC4=CC=CC=C4N3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib -0.6 Pct,
1205,194166785,71720883,C1CN(CCC1N(C2=CC=C(C=C2)C(F)(F)F)C3=CN=CC=C3)C4=NC=C(C=C4)C(F)(F)F,Unspecified,,,,,Inhibition,=,14.25,%,Average; N=2,
1206,194166807,71720882,C1CN(CCN1C2=CC=C(C=C2)C(F)(F)F)C(=O)[C@@H](C3=CC=C(C=C3)Cl)C4=CN=CC=C4,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 15.7 Pct,
1207,194168215,5061639,C1=CC(=CC=C1NC(=S)NNC(=O)C2=CC=NC=C2)Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 12.7 Pct,
1208,194168271,76325640,CN1C2=C(C=C(C=C2)OCCCC3CCN(CC3)CC4=CC=CC=C4)C=C1C(=O)O,Unspecified,,,,,Inhibition,=,27.49,%,Average; N=2,
1209,194168741,5877,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)C)O,Unspecified,,,,,Inhibition,=,6.17,%,Average; N=2,
1210,194169247,76326040,CCOC(=O)C1=C(N=C2C(=C1C3=CC=CC=C3OC)C(=C4CCCCCC4=N2)N)C,Unspecified,,,,,Inhibition,=,5.11,%,Average; N=2,
1211,194174085,76328537,C1CN(CCN1)C2=NN3C(=NN=C3C4=CC=CC=C42)C5=CC=CC=C5,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 7.6 Pct,
1212,194175536,6918606,C[C@@H](C1=NC(=CS1)C2=CC=C(C=C2)C#N)[C@](CN3C=[N+](C=N3)C(C)OC(=O)N(C)C4=C(C=CC=N4)COC(=O)CNC)(C5=C(C=CC(=C5)F)F)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 13.5 Pct,
1213,194181256,72710598,C1CCN(C1)C(=O)NC2=CC(=C(C=C2)F)C3=NC4=C(N3)C=C(C=N4)C5=CC=CC=C5,Unspecified,,,,,Inhibition,=,13.16,%,Average; N=2,
1214,194181959,76332874,CN1C2=C(C=C(C=C2)OCCCC3CCN(CC3)CC4=CC=CC=C4)C=C1C(=O)NCC5=CC=CC=C5,Unspecified,,,,,Inhibition,=,21.45,%,Average; N=2,
1215,194182384,135449532,CC1=CC(=O)NC(=N1)N2C(=CC(=N2)C)C,Unspecified,,,,,Inhibition,=,9.17,%,Average; N=2,
1216,194182411,23581820,C1CC2=CC(=C(C=C2[C@@H]3[C@@H]1NCC4=CC=CC=C34)O)O.O.Cl,Unspecified,,,,,Inhibition,=,11.17,%,Average; N=2,
1217,194182423,71279,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O.Cl.Cl,Unspecified,,,,,Inhibition,=,15.16,%,Average; N=2,
1218,194182677,10110536,CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)OC3=CC=C(C=C3)C)C,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 16.1 Pct,
1219,194182911,76333292,CCOC(=O)C1=C(N=C2C(=C1C3=CC=C(C=C3)OC)C(=C4CCCCCCC4=N2)N)C,Unspecified,,,,,Inhibition,=,3.19,%,Average; N=2,
1220,194184929,221092,CC1=NC(=C2C=NN(C2=N1)C3=CC=CC=C3)NCC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,7.38,%,Average; N=2,
1221,194187617,73671928,CC1=NC(=CS1)C2=CC=C(S2)C3N(C4=C(C=C(C=C4)F)C(=O)N3C5=CC=CC=C5)C,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 9.8 Pct,
1222,242084214,298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 56.8 Pct,
1223,242084217,5064,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 23.9 Pct,
1224,242084218,73180,CC(=O)NC[C@@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,Active,,,,2.5,MIC,=,2500,nM,Median N= 2; Range 5 - 2.5  Um,
1225,242084297,3279,CCC(CO)NCCNC(CC)CO,Unspecified,,,,,Inhibition,=,8.81,%,Average; N=2,
1226,242084452,247955,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C#N,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 14.6 Pct,
1227,242084519,3197,CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,Unspecified,,,,0.0781,MIC,<=,78.1,nM,Median N= 2,
1228,242084530,452507,COC1=CC(=CC(=C1OC)OC)CC2=CC(=NC(=N2)N)N,Active,,,,5,MIC,=,5000,nM,Median N= 2,
1229,242084545,5281885,C[C@H]1C[C@H]([C@H]([C@@H](/C=C(/[C@H]([C@@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 17.4 Pct,
1230,242084582,712318,C1=CC(=C(C=C1[C@@H]2[C@@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Unspecified,,,,,Inhibition,=,15.43,%,Average; N=2,
1231,242084613,41774,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 19.9 Pct,
